"","uniqueid","location","habit","habitat","abpapillae","adpapillae","ex3","ex4","ex5","ex6","ex7","ex8","ex9","ex10"
"61",61,"andes","erect","savanna",0,0,1,1,0,1,0,1,1,1
"62",62,"andes","arching","forest",1,0,0,1,0,1,1,0,1,0
"63",63,"sa_east","climbing","savanna",0,0,0,1,0,1,0,0,0,0
"64",64,"sa_east","erect","forest",1,0,1,1,0,1,0,1,0,0
"65",65,"mexico","arching","savanna",1,1,0,0,0,1,1,1,0,0
"66",66,"mexico","climbing","forest",1,0,0,1,0,1,1,0,0,0
"67",67,"central_america","erect","savanna",0,0,1,1,0,1,1,0,1,1
"68",68,"central_america","arching","forest",1,0,0,1,0,1,0,1,0,0
"69",69,"andes","climbing","savanna",1,0,1,0,0,0,1,1,0,1
"70",70,"andes","erect","forest",0,0,0,1,0,1,1,0,0,0
"71",71,"sa_east","arching","savanna",0,0,0,1,0,0,0,0,0,0
"72",72,"sa_east","climbing","forest",1,0,0,1,0,1,1,0,0,1
"73",73,"mexico","erect","savanna",1,0,0,1,0,1,0,1,1,0
"74",74,"mexico","arching","forest",1,0,0,1,0,1,1,0,1,0
"75",75,"central_america","climbing","savanna",0,0,0,0,0,1,1,0,1,1
"76",76,"central_america","erect","forest",0,1,1,1,1,0,0,1,0,0
"77",77,"andes","arching","savanna",0,0,0,1,0,1,0,0,0,1
"78",78,"andes","climbing","forest",0,0,0,1,0,1,0,0,0,0
"79",79,"sa_east","erect","savanna",1,0,0,1,0,1,0,0,1,1
"80",80,"sa_east","arching","forest",0,0,0,1,1,1,1,0,1,0
