"full_location","island","site","transect","top_color","bowl_color","orders","number_of_insects","dateout","datecoll","duration","order_abrev"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","w","y","Diptera",13,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiGrid_L2","saipan","forbig","L2","y","r","Apoidea",13,2018-01-17,2018-01-20,3,"Apoid"
"Saipan_ForbiGrid_L3","saipan","forbig","L3","w","y","Diptera",13,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_Ladtg_L3","saipan","ladtg","L3","w","r","Lepidoptera",13,NA,NA,NA,"Lepid"
"Saipan_MTRL_L3","saipan","mtrl","L3","y","b","Lepidoptera",13,2018-01-17,2018-01-20,3,"Lepid"
"Guam_Nblas_L2","guam","nblas","L2","r","b","Formicidae",12,2018-01-12,2018-01-15,3,"Formi"
"Saipan_ForbiGrid_L2","saipan","forbig","L2","y","r","Diptera",12,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_MTRL_L1","saipan","mtrl","L1","w","w","Diptera",12,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_MTRL_L1","saipan","mtrl","L1","b","w","Diptera",12,2018-01-17,2018-01-20,3,"Dipte"
"Guam_Riti_L3","guam","riti","L3","w","b","Isoptera",11,2018-01-12,2018-01-15,3,"Isopt"
"Saipan_ForbiA_L3","saipan","forbia","L3","b","w","Crabronidae",11,2018-01-17,2018-01-20,3,"Crabr"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","y","w","Diptera",11,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","b","w","Hemiptera",11,2018-01-17,2018-01-20,3,"Hemip"
"Saipan_ForbiGrid_L2","saipan","forbig","L2","y","w","Apoidea",11,2018-01-17,2018-01-20,3,"Apoid"
"Saipan_ForbiGrid_L3","saipan","forbig","L3","b","y","Lepidoptera",11,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_ForbiGrid_L3","saipan","forbig","L3","y","b","Lepidoptera",11,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_LADTA_L2","saipan","ladta","L2","r","w","Diptera",11,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_MTRL_L1","saipan","mtrl","L1","y","y","Diptera",11,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_MTRL_L2","saipan","mtrl","L2","b","b","Lepidoptera",11,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","y","b","Hemiptera",10,2018-01-17,2018-01-20,3,"Hemip"
"Saipan_LADTA_L2","saipan","ladta","L2","b","w","Diptera",10,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_Ladtg_L3","saipan","ladtg","L3","b","w","Diptera",10,NA,NA,NA,"Dipte"
"Saipan_Ladtg_L3","saipan","ladtg","L3","b","r","Lepidoptera",10,NA,NA,NA,"Lepid"
"Saipan_Ladtg_L3","saipan","ladtg","L3","y","y","Diptera",10,NA,NA,NA,"Dipte"
"Saipan_MTRL_L2","saipan","mtrl","L2","b","y","Lepidoptera",10,2018-01-17,2018-01-20,3,"Lepid"
"Guam_Anao_L2","guam","anao","L2","b","b","Formicidae",9,2018-01-12,2018-01-15,3,"Formi"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","y","y","Trichoptera",9,2018-01-17,2018-01-20,3,"Trich"
"Saipan_ForbiGrid_L2","saipan","forbig","L2","w","b","Crabronidae",9,2018-01-17,2018-01-20,3,"Crabr"
"Saipan_ForbiGrid_L3","saipan","forbig","L3","b","w","Diptera",9,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_LADTA_L1","saipan","ladta","L1","r","b","Lepidoptera",9,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_LADTA_L2","saipan","ladta","L2","w","y","Lepidoptera",9,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_Ladtg_L3","saipan","ladtg","L3","b","w","Apoidea",9,NA,NA,NA,"Apoid"
"Saipan_Ladtg_L3","saipan","ladtg","L3","y","r","Lepidoptera",9,NA,NA,NA,"Lepid"
"Saipan_Ladtg_L3","saipan","ladtg","L3","y","w","Diptera",9,NA,NA,NA,"Dipte"
"Saipan_MTRL_L1","saipan","mtrl","L1","b","y","Diptera",9,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiA_L3","saipan","forbia","L3","b","y","Diptera",8,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","r","w","Diptera",8,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","r","w","Lepidoptera",8,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","b","r","Diptera",8,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_LADTA_L2","saipan","ladta","L2","y","y","Crabronidae",8,2018-01-17,2018-01-20,3,"Crabr"
"Saipan_Ladtg_L1","saipan","ladtg","L1","b","y","Diptera",8,NA,NA,NA,"Dipte"
"Saipan_Ladtg_L3","saipan","ladtg","L3","r","b","Diptera",8,NA,NA,NA,"Dipte"
"Saipan_Ladtg_L3","saipan","ladtg","L3","b","r","Apoidea",8,NA,NA,NA,"Apoid"
"Saipan_Ladtg_L3","saipan","ladtg","L3","w","w","Apoidea",8,NA,NA,NA,"Apoid"
"Guam_Nblas_L3","guam","nblas","L3","w","b","Formicidae",7,2018-01-12,2018-01-15,3,"Formi"
"Guam_Racetrack_L2","guam","race","L2","w","w","Diptera",7,2018-01-12,2018-01-15,3,"Dipte"
"Saipan_ForbiA_L2","saipan","forbia","L2","y","y","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiA_L2","saipan","forbia","L2","y","w","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiA_L2","saipan","forbia","L2","w","r","Lepidoptera",7,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_ForbiA_L3","saipan","forbia","L3","b","w","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","y","b","Trichoptera",7,2018-01-17,2018-01-20,3,"Trich"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","y","y","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiGrid_L2","saipan","forbig","L2","y","y","Lepidoptera",7,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_ForbiGrid_L3","saipan","forbig","L3","w","b","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiGrid_L3","saipan","forbig","L3","r","y","Crabronidae",7,2018-01-17,2018-01-20,3,"Crabr"
"Saipan_LADTA_L2","saipan","ladta","L2","y","w","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_LADTA_L2","saipan","ladta","L2","y","w","Crabronidae",7,2018-01-17,2018-01-20,3,"Crabr"
"Saipan_LADTA_L2","saipan","ladta","L2","w","w","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_LADTA_L2","saipan","ladta","L2","r","w","Apoidea",7,2018-01-17,2018-01-20,3,"Apoid"
"Saipan_Ladtg_L3","saipan","ladtg","L3","r","w","Coleoptera",7,NA,NA,NA,"Coleo"
"Saipan_Ladtg_L3","saipan","ladtg","L3","b","b","Lepidoptera",7,NA,NA,NA,"Lepid"
"Saipan_Ladtg_L3","saipan","ladtg","L3","y","y","Lepidoptera",7,NA,NA,NA,"Lepid"
"Saipan_Ladtg_L3","saipan","ladtg","L3","y","b","Lepidoptera",7,NA,NA,NA,"Lepid"
"Saipan_MTRL_L1","saipan","mtrl","L1","b","b","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_MTRL_L2","saipan","mtrl","L2","y","w","Lepidoptera",7,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_MTRL_L2","saipan","mtrl","L2","y","b","Lepidoptera",7,2018-01-17,2018-01-20,3,"Lepid"
"Guam_Anao_L1","guam","anao","L1","y","w","Formicidae",6,2018-01-12,2018-01-15,3,"Formi"
"Guam_Anao_L1","guam","anao","L1","r","r","Diptera",6,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Nblas_L2","guam","nblas","L2","r","r","Formicidae",6,2018-01-12,2018-01-15,3,"Formi"
"Guam_Racetrack_L1","guam","race","L1","b","r","Formicidae",6,2018-01-12,2018-01-15,3,"Formi"
"Guam_Racetrack_L2","guam","race","L2","y","r","Formicidae",6,2018-01-12,2018-01-15,3,"Formi"
"Guam_Racetrack_L2","guam","race","L2","w","y","Diptera",6,2018-01-12,2018-01-15,3,"Dipte"
"Saipan_ForbiA_L1","saipan","forbia","L1","b","y","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiA_L1","saipan","forbia","L1","w","w","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiA_L2","saipan","forbia","L2","r","y","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiA_L2","saipan","forbia","L2","r","y","Lepidoptera",6,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_ForbiA_L2","saipan","forbia","L2","r","b","Lepidoptera",6,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_ForbiA_L2","saipan","forbia","L2","r","w","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","b","w","Lepidoptera",6,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","b","b","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","b","r","Apoidea",6,2018-01-17,2018-01-20,3,"Apoid"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","y","r","Hemiptera",6,2018-01-17,2018-01-20,3,"Hemip"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","b","y","Coleoptera",6,2018-01-17,2018-01-20,3,"Coleo"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","r","y","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiGrid_L2","saipan","forbig","L2","y","b","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiGrid_L2","saipan","forbig","L2","r","b","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_LADTA_L1","saipan","ladta","L1","r","y","Lepidoptera",6,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_LADTA_L2","saipan","ladta","L2","w","y","Apoidea",6,2018-01-17,2018-01-20,3,"Apoid"
"Saipan_LADTA_L2","saipan","ladta","L2","r","r","Coleoptera",6,2018-01-17,2018-01-20,3,"Coleo"
"Saipan_LADTA_L2","saipan","ladta","L2","r","r","Lepidoptera",6,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_Ladtg_L3","saipan","ladtg","L3","b","y","Lepidoptera",6,NA,NA,NA,"Lepid"
"Saipan_Ladtg_L3","saipan","ladtg","L3","y","y","Crabronidae",6,NA,NA,NA,"Crabr"
"Guam_Anao_L1","guam","anao","L1","y","b","Formicidae",5,2018-01-12,2018-01-15,3,"Formi"
"Guam_Anao_L1","guam","anao","L1","r","b","Formicidae",5,2018-01-12,2018-01-15,3,"Formi"
"Guam_Anao_L1","guam","anao","L1","r","y","Diptera",5,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Anao_L1","guam","anao","L1","r","y","Formicidae",5,2018-01-12,2018-01-15,3,"Formi"
"Guam_Anao_L2","guam","anao","L2","w","b","Formicidae",5,2018-01-12,2018-01-15,3,"Formi"
"Guam_Racetrack_L2","guam","race","L2","w","y","Lepidoptera",5,2018-01-12,2018-01-15,3,"Lepid"
"Guam_Racetrack_L3","guam","race","L3","y","y","Apoidea",5,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Racetrack_L3","guam","race","L3","b","w","Formicidae",5,2018-01-12,2018-01-15,3,"Formi"
"Guam_Sblas_L1","guam","sblas","L1","w","y","Formicidae",5,2018-01-12,2018-01-15,3,"Formi"
"Guam_Sblas_L1","guam","sblas","L1","w","b","Formicidae",5,2018-01-12,2018-01-15,3,"Formi"
"Guam_Sblas_L3","guam","sblas","L3","w","y","Diptera",5,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Sblas_L3","guam","sblas","L3","w","y","Lepidoptera",5,2018-01-12,2018-01-15,3,"Lepid"
"Saipan_ForbiA_L2","saipan","forbia","L2","b","y","Hemiptera",5,2018-01-17,2018-01-20,3,"Hemip"
"Saipan_ForbiA_L2","saipan","forbia","L2","w","y","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_ForbiA_L2","saipan","forbia","L2","r","r","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_ForbiA_L3","saipan","forbia","L3","r","b","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiA_L3","saipan","forbia","L3","r","r","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","y","b","Apoidea",5,2018-01-17,2018-01-20,3,"Apoid"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","b","r","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","r","r","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","r","y","Hemiptera",5,2018-01-17,2018-01-20,3,"Hemip"
"Saipan_ForbiGrid_L2","saipan","forbig","L2","r","r","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiGrid_L3","saipan","forbig","L3","r","b","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_LADTA_L1","saipan","ladta","L1","r","w","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_LADTA_L2","saipan","ladta","L2","y","r","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_LADTA_L2","saipan","ladta","L2","b","w","Apoidea",5,2018-01-17,2018-01-20,3,"Apoid"
"Saipan_LADTA_L2","saipan","ladta","L2","w","w","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_LADTA_L2","saipan","ladta","L2","r","b","Coleoptera",5,2018-01-17,2018-01-20,3,"Coleo"
"Saipan_Ladtg_L1","saipan","ladtg","L1","b","w","Diptera",5,NA,NA,NA,"Dipte"
"Saipan_Ladtg_L1","saipan","ladtg","L1","w","y","Apoidea",5,NA,NA,NA,"Apoid"
"Saipan_LADTG_L2","saipan","ladtg","L2","b","b","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_LADTG_L2","saipan","ladtg","L2","b","w","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_LADTG_L2","saipan","ladtg","L2","w","b","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_LADTG_L2","saipan","ladtg","L2","w","b","Apoidea",5,2018-01-17,2018-01-20,3,"Apoid"
"Saipan_Ladtg_L3","saipan","ladtg","L3","r","r","Diptera",5,NA,NA,NA,"Dipte"
"Saipan_Ladtg_L3","saipan","ladtg","L3","r","y","Diptera",5,NA,NA,NA,"Dipte"
"Saipan_Ladtg_L3","saipan","ladtg","L3","b","b","Diptera",5,NA,NA,NA,"Dipte"
"Saipan_Ladtg_L3","saipan","ladtg","L3","b","b","Apoidea",5,NA,NA,NA,"Apoid"
"Saipan_Ladtg_L3","saipan","ladtg","L3","y","y","Apoidea",5,NA,NA,NA,"Apoid"
"Saipan_Ladtg_L3","saipan","ladtg","L3","y","r","Diptera",5,NA,NA,NA,"Dipte"
"Saipan_Ladtg_L3","saipan","ladtg","L3","y","b","Diptera",5,NA,NA,NA,"Dipte"
"Saipan_MTRL_L2","saipan","mtrl","L2","w","r","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_MTRL_L2","saipan","mtrl","L2","y","r","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_MTRL_L2","saipan","mtrl","L2","w","w","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_MTRL_L2","saipan","mtrl","L2","w","b","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_MTRL_L2","saipan","mtrl","L2","y","y","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"Guam_Anao_L1","guam","anao","L1","r","b","Diptera",4,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Anao_L1","guam","anao","L1","r","w","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"Guam_Nblas_L2","guam","nblas","L2","r","w","Diptera",4,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Nblas_L3","guam","nblas","L3","y","y","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"Guam_Racetrack_L1","guam","race","L1","y","w","Diptera",4,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Racetrack_L1","guam","race","L1","y","w","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"Guam_Racetrack_L1","guam","race","L1","y","w","Isoptera",4,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Racetrack_L2","guam","race","L2","y","r","Diptera",4,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Racetrack_L2","guam","race","L2","y","w","Diptera",4,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Racetrack_L2","guam","race","L2","w","r","Diptera",4,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Racetrack_L2","guam","race","L2","w","w","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"Guam_Racetrack_L3","guam","race","L3","y","y","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"Guam_Racetrack_L3","guam","race","L3","r","b","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"Guam_Riti_L3","guam","riti","L3","b","w","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"Guam_Sblas_L3","guam","sblas","L3","r","r","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"Guam_Sblas_L3","guam","sblas","L3","r","w","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"Saipan_ForbiA_L1","saipan","forbia","L1","b","r","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_ForbiA_L1","saipan","forbia","L1","w","w","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_ForbiA_L2","saipan","forbia","L2","y","r","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_ForbiA_L2","saipan","forbia","L2","b","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiA_L2","saipan","forbia","L2","w","y","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiA_L2","saipan","forbia","L2","w","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiA_L3","saipan","forbia","L3","r","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiA_L3","saipan","forbia","L3","y","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","y","b","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","y","w","Apoidea",4,2018-01-17,2018-01-20,3,"Apoid"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","b","b","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","r","w","Apoidea",4,2018-01-17,2018-01-20,3,"Apoid"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","r","r","Hemiptera",4,2018-01-17,2018-01-20,3,"Hemip"
"Saipan_ForbiGrid_L2","saipan","forbig","L2","b","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiGrid_L2","saipan","forbig","L2","w","b","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiGrid_L2","saipan","forbig","L2","r","y","Crabronidae",4,2018-01-17,2018-01-20,3,"Crabr"
"Saipan_ForbiGrid_L3","saipan","forbig","L3","r","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiGrid_L3","saipan","forbig","L3","y","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_LADTA_L1","saipan","ladta","L1","b","y","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_LADTA_L2","saipan","ladta","L2","y","y","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_LADTA_L2","saipan","ladta","L2","y","r","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_LADTA_L2","saipan","ladta","L2","b","y","Apoidea",4,2018-01-17,2018-01-20,3,"Apoid"
"Saipan_LADTA_L2","saipan","ladta","L2","b","y","Crabronidae",4,2018-01-17,2018-01-20,3,"Crabr"
"Saipan_LADTA_L2","saipan","ladta","L2","b","b","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_LADTA_L2","saipan","ladta","L2","b","w","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_LADTA_L2","saipan","ladta","L2","b","r","Apoidea",4,2018-01-17,2018-01-20,3,"Apoid"
"Saipan_LADTA_L2","saipan","ladta","L2","r","w","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_LADTA_L2","saipan","ladta","L2","r","r","Apoidea",4,2018-01-17,2018-01-20,3,"Apoid"
"Saipan_Ladtg_L1","saipan","ladtg","L1","b","w","Lepidoptera",4,NA,NA,NA,"Lepid"
"Saipan_Ladtg_L1","saipan","ladtg","L1","b","r","Lepidoptera",4,NA,NA,NA,"Lepid"
"Saipan_Ladtg_L1","saipan","ladtg","L1","b","y","Apoidea",4,NA,NA,NA,"Apoid"
"Saipan_Ladtg_L1","saipan","ladtg","L1","r","y","Diptera",4,NA,NA,NA,"Dipte"
"Saipan_Ladtg_L1","saipan","ladtg","L1","r","w","Coleoptera",4,NA,NA,NA,"Coleo"
"Saipan_LADTG_L2","saipan","ladtg","L2","y","y","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_LADTG_L2","saipan","ladtg","L2","y","y","Hemiptera",4,2018-01-17,2018-01-20,3,"Hemip"
"Saipan_LADTG_L2","saipan","ladtg","L2","w","y","Coleoptera",4,2018-01-17,2018-01-20,3,"Coleo"
"Saipan_LADTG_L2","saipan","ladtg","L2","r","r","Hemiptera",4,2018-01-17,2018-01-20,3,"Hemip"
