specimen,country,region,species,habit,habitat,general_habitat,general_habit,ab_papillae_long_cells_stomatal,ab_papillae_long_cells_interstomatal,ab_prickle,ab_bimicro,ab_macro,ab_bilobate_intercostal,ab_ridged_saddle_intercostal,ab_smooth_saddle_intercostal,ab_vertically_elongated_intercostal,ab_bilobate_costal,ab_ridged_saddle_costal,ab_smooth_saddle_costal,ab_vertically_elongated_costal,ab_triangular_sub_cells,ab_dome_sub_cells,ab_parallel_sub_cells,ad_stomata,ad_stomata_freq,ad_papillae_long_cells_stomatal,ad_papillae_long_cells_interstomatal,ad_papillae_overarch,ad_papillae_bulliform,ad_prickle,ad_bimicro,ad_macro,ad_bilobate_intercostal,ad_ridged_saddle_intercostal,ad_smooth_saddle_intercostal,ad_vertically_elongated_intercostal,ad_bilobate_costal,ad_ridged_saddle_costal,ad_smooth_saddle_costal,ad_vertically_elongated_costal,ad_triangular_sub_cells,ad_dome_sub_cells,ad_parallel_sub_cells
g_latifolia_davidse_27872,venezuela,eastern_south_america,g_latifolia,big_erect,river,general_forest,erect_climbing,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,x,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
g_longifolia_mcclure_21676,guatemala,central_america,g_longifolia,small_arching,river,general_forest,small_arching,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,x,x,x
g_maclurei_mcclure_21476,nicaragua,central_america,g_maclurei,small_arching,forest,general_forest,small_arching,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,x,0,0,x,0,0,0,0,1,0,0,0,1,0,0,0,x,x,x
g_macrospiculata_londono_and_kobayashi_569,colombia,andes,g_macrospiculata,leaning_climbing,river,general_forest,erect_climbing,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,x,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
g_macrostachya_londono_and_rosa_745,brazil,eastern_south_america,g_macrostachya,big_erect,forest,general_forest,erect_climbing,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,x,x,x
g_paniculata_pohl_and_gabel_13584,el salvador,central_america,g_paniculata,small_arching,savanna,savanna,small_arching,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,x,x,x
g_paraguayana_quarin_3318,argentina,eastern_south_america,g_paraguayana,big_erect,forest,general_forest,erect_climbing,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,x,x,x
g_sarcocarpa_wasshausen_and_encarnacion_760,peru,andes,g_sarcocarpa,leaning_climbing,forest,general_forest,erect_climbing,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,x,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
g_superba_plowman_7313,peru,andes,g_superba,big_erect,river,general_forest,erect_climbing,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,x,x,x
g_tagoara_davidse_et_al_11420,brazil,eastern_south_america,g_tagoara,leaning_climbing,forest,general_forest,erect_climbing,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,x,0,0,x,0,1,0,0,1,0,0,1,1,0,1,0,x,x,x
g_trinii_clark_and_olveira_913,brazil,eastern_south_america,g_trinii,small_arching,forest,general_forest,small_arching,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,x,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0
g_uncinata_mcclure_21364,ecuador,andes,g_uncinata,big_erect,forest,general_forest,erect_climbing,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,x,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
g_velutina_conrad_et_al_z61,mexico,mexico,g_velutina,big_erect,forest,general_forest,erect_climbing,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,x,x,x
g_venezuelae_clark_et_al_1522,venezuela,eastern_south_america,g_venezuelae,small_arching,savanna,savannna,small_arching,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,NA,NA,NA
g_virgata_clark_and_morel_710,brazil,eastern_south_america,g_virgata,small_arching,savanna,savanna,small_arching,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,x,x,x
g_weberbaueri_mcclure_21435,peru,andes,g_weberbaueri,leaning_climbing,forest,general_forest,erect_climbing,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,x,0,0,x,0,0,0,0,1,0,0,0,1,0,1,0,x,x,x
